OBJECTID,StaType,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,DateModif,lon,lat,x,y
1,Station Building (with waiting room),BUS,48801,MI,Alma, ,1105 Willow Run Drive, ,AAM,"Alma, MI", , ,2018-09-27T04:04:47,-84.644832,43.39172,-84.6448319998007,43.3917199998474
2,Curbside Bus Stop only (no shelter),BUS,12211,NY,Albany, ,737 Albany Shaker Road,Albany Intl Airport,ABA,"Albany, NY",Albany Intl Airport, ,2018-09-27T07:04:38,-73.809184,42.744491,-73.8091839995775,42.744490999718
3,Curbside Bus Stop only (no shelter),BUS,54421,WI,Colby, ,1210 North Division St., ,ABB,"Abbotsford-Colby, WI", ,Colby,2018-09-28T07:04:39,-90.314667,44.928553,-90.3146669999634,44.9285529998045
4,Station Building (with waiting room),TRAIN,21001,MD,Aberdeen, ,18 East Bel Air Avenue, ,ABE,"Aberdeen, MD", , ,2018-09-14T07:04:39,-76.16326,39.508447,-76.1632600003979,39.5084469997505
5,Platform with Shelter,TRAIN,08201,NJ,Absecon, ,Shore Road and Ohio Avenue, ,ABN,"Absecon, NJ", , ,2018-09-27T04:04:48,-74.501475,39.424041,-74.5014749995706,39.4240410002761
6,Station Building (with waiting room),TRAIN,87102,NM,Albuquerque, ,320 1st Street SW, ,ABQ,"Albuquerque, NM", , ,2018-09-29T07:04:38,-106.647975,35.082061,-106.647974999697,35.0820610001874
7,Platform with Shelter,TRAIN,94509,CA,Antioch, ,100 I Street, ,ACA,"Antioch-Pittsburg, CA", ,Pittsburg,2017-11-06T07:04:20,-121.816024,38.0177,-121.81602399963,38.0177000001836
8,Station Building (with waiting room),BUS,08401,NJ,Atlantic City, ,1901 Atlantic Avenue, ,ACB,"Atlantic City, NJ", , ,2018-04-13T07:04:13,-74.434793,39.359556,-74.4347930003349,39.3595559997725
9,Station Building (with waiting room),TRAIN,63621,MO,Arcadia, ,13700 Highway 21, ,ACD,"Arcadia, MO", , ,2018-09-29T07:04:39,-90.624403,37.592161,-90.6244029999604,37.5921610002709
10,Station Building (with waiting room),TRAIN,08401,NJ,Atlantic City, ,1 Atlantic City Expressway, ,ACY,"Atlantic City, NJ", , ,2018-09-27T07:04:38,-74.439903,39.362689,-74.4399030003532,39.3626889997184
11,Platform only (no shelter),TRAIN,73401,OK,Ardmore, ,251 East Main Street, ,ADM,"Ardmore, OK", , ,2024-06-09T02:00:00,-97.12551,34.172465,-97.1255099996676,34.172464999671
12,Curbside Bus Stop only (no shelter),BUS,04330,ME,Augusta, ,9 Industrial Drive, ,AGM,"Augusta, ME", , ,2018-09-26T04:04:47,-69.799133,44.355913,-69.7991330002517,44.3559130002942
13,Curbside Bus Stop only (no shelter),BUS,97520,OR,Ashland, ,499 Stadium Street,Southern Oregon University,AHL,"Ashland, OR",Southern Oregon University, ,2018-09-20T09:56:28,-122.689591,42.185744,-122.689591000404,42.1857440000005
14,Platform with Shelter,TRAIN,41101,KY,Ashland, ,99 15th Street, ,AKY,"Ashland, KY", , ,2017-11-06T07:04:22,-82.639603,38.480875,-82.6396029998358,38.4808749997119
15,Curbside Bus Stop only (no shelter),BUS,49706,MI,Alanson, ,7640 Burr Avenue, ,ALA,"Alanson, MI", , ,2018-09-27T04:04:48,-84.790596,45.440201,-84.790596000196,45.440201000083
16,Station Building (with waiting room),TRAIN,12144,NY,Rensselaer, ,525 East Street, ,ALB,"Albany-Rensselaer, NY", , ,2018-09-14T07:04:40,-73.741147,42.641029,-73.7411470004318,42.6410289996868
17,Platform only (no shelter),TRAIN,44601,OH,Alliance, ,820 East Main Street, ,ALC,"Alliance, OH", , ,2017-11-12T04:04:31,-81.092904,40.921275,-81.0929039997501,40.921274999694
