,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,14,0.06363636363636363,0.054844337313857995,75858,5418.4286,5507.5,2317.0101,11456,818.2857,847.0,528.6046,0.151,43.2143,64402
1,2022,1,25,0.11363636363636363,0.07926972543127973,109642,4385.68,3756.0,3322.4681,23767,950.68,559.0,1110.7817,0.2168,72.9091,85875
2,2022,2,18,0.08181818181818182,0.06589302252610163,91140,5063.3333,4760.5,2846.3386,18051,1002.8333,910.5,840.6817,0.1981,68.9412,73089
3,2022,3,17,0.07727272727272727,0.09868192265341962,136492,8028.9412,7901.0,3622.6644,31514,1853.7647,1444.0,1828.8681,0.2309,74.5294,104978
4,2022,4,18,0.08181818181818182,0.10874083885273553,150405,8355.8333,8667.5,4234.1648,42910,2383.8889,1854.5,2174.2089,0.2853,62.8235,107495
5,2023,1,14,0.06363636363636363,0.07075727812798457,97868,6990.5714,7146.5,2650.9018,20476,1462.5714,831.0,1471.1409,0.2092,60.7857,77392
6,2023,2,16,0.07272727272727272,0.058465778501407294,80867,5054.1875,5103.0,2881.4689,18553,1159.5625,902.5,1051.6684,0.2294,62.0,62314
7,2023,3,20,0.09090909090909091,0.07460862913738268,103195,5159.75,5559.5,3146.4702,24261,1213.05,769.0,1524.168,0.2351,58.5263,78934
8,2023,4,21,0.09545454545454546,0.0989501507789099,136863,6517.2857,5709.0,3998.5819,33286,1585.0476,1351.0,1641.19,0.2432,63.2857,103577
9,2024,1,18,0.08181818181818182,0.10253038171537308,141815,7878.6111,7263.5,3403.255,24637,1368.7222,953.5,1236.8138,0.1737,54.8333,117178
10,2024,2,19,0.08636363636363636,0.07922706920647131,109583,5767.5263,6867.0,3188.7364,20676,1088.2105,663.0,1373.8236,0.1887,59.1053,88907
11,2024,3,20,0.09090909090909091,0.10803086575507663,149423,7471.15,7640.5,3901.2909,28569,1428.45,767.5,1587.2174,0.1912,75.7895,120854
