,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,101,0.01075497817058886,0.008303622654364766,87895,870.2475,354.0,1453.8185,28324,280.4356,114.0,486.3524,0.3222,59.1735,59571
1,2022,1,795,0.08465552124374401,0.08531923860423561,903116,1135.995,433.0,2437.9046,444185,558.7233,196.0,1572.151,0.4918,82.9495,458931
2,2022,2,973,0.1036098392077521,0.06281277931258153,664882,683.332,177.0,2000.0337,338773,348.1737,85.0,1190.536,0.5095,95.1462,326109
3,2022,3,733,0.0780534554360558,0.08803153175409412,931826,1271.2497,423.0,2886.3182,588963,803.4966,264.0,1994.3889,0.6321,93.2751,342863
4,2022,4,783,0.0833777020551592,0.09024057218332229,955209,1219.9349,402.0,2702.6445,569548,727.3921,242.0,1594.8463,0.5963,95.4587,385661
5,2023,1,813,0.08657225002662124,0.09331639386124263,987767,1214.9656,448.0,2598.5291,454266,558.7528,210.0,1424.2459,0.4599,86.2015,533501
6,2023,2,964,0.1026514748163135,0.08136152014631079,861223,893.3849,272.5,2277.9249,393036,407.7137,129.0,1061.6093,0.4564,116.7527,468187
7,2023,3,791,0.08422958151421574,0.0966095013017779,1022625,1292.8255,511.0,2799.1489,490986,620.7155,250.0,1320.4383,0.4801,78.4698,531639
8,2023,4,785,0.08359067191992334,0.09704974115124988,1027285,1308.6433,513.0,2683.0387,511954,652.1707,279.0,1214.5009,0.4984,89.3501,515331
9,2024,1,827,0.08806303907997018,0.10313185306305378,1091665,1320.0302,548.0,2610.5391,362260,438.0411,196.0,798.2051,0.3318,71.0511,729405
10,2024,2,1039,0.11063784474496859,0.09153521744022446,968913,932.5438,272.0,2312.7878,383950,369.538,111.0,1001.6628,0.3963,80.6112,584963
11,2024,3,787,0.08380364178468747,0.10228802852754225,1082733,1375.7726,580.0,2795.8074,542460,689.2757,284.0,1482.8349,0.501,83.1388,540273
