,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,1619,0.06143513072515463,0.04789342364683733,1615738,997.9852,284.0,2003.5881,288477,178.1822,24.0,477.4623,0.1785,41.5145,1327261
1,2022,1,2093,0.07942169771942473,0.06454344445243457,2177445,1040.3464,295.0,2122.5037,407495,194.6942,37.0,462.7494,0.1871,38.4606,1769950
2,2022,2,1995,0.07570295602018745,0.04680865140543455,1579142,791.5499,215.0,1635.6237,287811,144.2662,30.0,338.6386,0.1823,41.9328,1291331
3,2022,3,1998,0.07581679505179675,0.07569938256670582,2553803,1278.1797,362.0,2575.3038,495591,248.0435,44.0,625.5676,0.1941,42.6638,2058212
4,2022,4,2136,0.08105339050582476,0.08671633016179635,2925472,1369.603,410.5,2692.2553,746395,349.4359,65.0,835.7636,0.2551,38.6777,2179077
5,2023,1,2235,0.08481007854893181,0.08857321267055239,2988116,1336.9647,394.0,2645.7572,668139,298.9436,63.0,715.578,0.2236,44.1413,2319977
6,2023,2,2126,0.08067392706712709,0.07477935959073413,2522765,1186.6251,366.5,2261.8128,326660,153.65,26.0,389.6308,0.1295,43.0768,2196105
7,2023,3,2417,0.09171631313322962,0.09489053777800253,3201238,1324.4675,380.0,2621.7413,731038,302.4568,58.0,713.856,0.2284,39.7841,2470200
8,2023,4,2326,0.08826319584108071,0.10703031771827662,3610787,1552.359,512.5,2906.5942,998983,429.4854,101.0,965.4039,0.2767,44.0181,2611804
9,2024,1,2369,0.08989488862748074,0.10541543107187745,3556307,1501.1849,495.0,2836.5871,780873,329.6214,71.0,736.7398,0.2196,42.8054,2775434
10,2024,2,2569,0.09748415740143437,0.09716845277437704,3278086,1276.0163,405.0,2377.0105,557720,217.0961,50.0,475.9005,0.1701,39.8848,2720366
11,2024,3,2470,0.09372746935832732,0.11048145616297123,3727215,1508.9939,463.5,2895.0987,954146,386.2939,76.0,916.8888,0.256,41.1004,2773069
