Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
2021,4,3860,0.056422849792434074,0.042569286866922844,3334492,863.858,232.0,1830.229,560163,145.1199,21.0,395.5343,0.168,40.8754,2774329
2022,1,5656,0.0826755539963749,0.0702221296122934,5500565,972.5186,274.0,2122.3845,1323483,233.9963,41.0,749.2579,0.2406,47.503,4177082
2022,2,5484,0.0801613751973338,0.05279472347412582,4135460,754.0956,195.0,1721.7037,994549,181.3547,31.0,618.5795,0.2405,51.7952,3140911
2022,3,5335,0.07798339472607145,0.0801382248295418,6277302,1176.6264,326.0,2514.7755,1623780,304.3636,48.0,946.0424,0.2587,49.6261,4653522
2022,4,5530,0.08083377185289131,0.08805683333228223,6897574,1247.3009,352.0,2612.6326,2045867,369.9579,65.0,953.5369,0.2966,48.4402,4851707
2023,1,5682,0.08305560427995089,0.08820100370563691,6908867,1215.9217,347.5,2574.4133,1758247,309.4416,62.0,830.6276,0.2545,51.2844,5150620
2023,2,5819,0.08505817692802432,0.07511649229153836,5883945,1011.1609,280.0,2150.7339,1188089,204.1741,33.0,591.8177,0.2019,56.9817,4695856
2023,3,6137,0.08970648424253055,0.09331993922094686,7309838,1191.1093,339.0,2524.0602,1915619,312.1426,58.0,810.8011,0.2621,45.0473,5394219
2023,4,6112,0.08934105127755365,0.10394003472497851,8141720,1332.0877,391.5,2739.8684,2368441,387.5067,81.0,929.0555,0.2909,50.2355,5773279
2024,1,6059,0.0885663333918026,0.10602208573180041,8304809,1370.6567,435.0,2742.9429,1839525,303.6021,66.0,711.0765,0.2215,46.3932,6465284
2024,2,6519,0.09529029994737766,0.09305273954731601,7288908,1118.1022,323.0,2298.7794,1510763,231.7477,44.0,619.6241,0.2073,47.7256,5778145
2024,3,6219,0.0909051043676548,0.10656650666261684,8347454,1342.2502,402.0,2710.8542,2296623,369.2914,72.0,957.991,0.2751,47.4861,6050831
