Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
350,HMI,Hammond-Whiting,Indiana,41.691155,-87.506511,11,151,13.7273,13.0,5.4789,21,1.9091,2.0,1.3751,0.1391,39.7778,130
350,MCI,Michigan City,Indiana,41.721111,-86.905556,3,97,32.3333,26.0,34.9333,47,15.6667,11.0,18.4481,0.4845,34.0,50
350,NBU,New Buffalo,Michigan,41.796656,-86.745782,11,4169,379.0,365.0,189.1587,799,72.6364,68.0,32.7209,0.1917,55.2727,3370
350,NLS,Niles,Michigan,41.837412,-86.252372,11,1545,140.4545,121.0,35.1208,300,27.2727,21.0,21.2042,0.1942,68.1818,1245
350,DOA,Dowagiac,Michigan,41.980941,-86.109041,11,939,85.3636,81.0,29.723,234,21.2727,18.0,15.0538,0.2492,47.3636,705
350,KAL,Kalamazoo,Michigan,42.295255,-85.584018,11,18699,1699.9091,1712.0,537.2886,4956,450.5455,395.0,178.0749,0.265,52.9091,13743
350,BTL,Battle Creek,Michigan,42.318453,-85.187825,11,4377,397.9091,382.0,95.257,881,80.0909,71.0,39.7529,0.2013,63.7273,3496
350,JXN,Jackson,Michigan,42.248113,-84.39967,11,3607,327.9091,320.0,75.5135,1534,139.4545,121.0,59.1158,0.4253,43.4545,2073
350,ARB,Ann Arbor,Michigan,42.287692,-83.743154,11,37278,3388.9091,3232.0,625.0639,17388,1580.7273,1641.0,498.8202,0.4664,42.2727,19890
350,DER,Dearborn,Michigan,42.307167,-83.235311,11,19674,1788.5455,1669.0,304.1146,8022,729.2727,762.0,187.7318,0.4077,45.5455,11652
350,DET,Detroit,Michigan,42.368097,-83.072397,11,28992,2635.6364,2627.0,611.0761,8494,772.1818,710.0,258.5958,0.293,50.3636,20498
350,ROY,Royal Oak,Michigan,42.488439,-83.14701,11,9602,872.9091,815.0,172.0689,3692,335.6364,356.0,87.484,0.3845,47.0909,5910
350,TRM,Troy,Michigan,42.542555,-83.191026,11,12597,1145.1818,1047.0,248.791,4893,444.8182,443.0,133.6816,0.3884,44.6364,7704
350,PNT,Pontiac,Michigan,42.632771,-83.292325,11,6027,547.9091,491.0,101.2635,2673,243.0,237.0,59.1016,0.4435,47.4545,3354
