,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,13,0.038922155688622756,0.029865654979585116,111344,8564.9231,8783.0,3040.1924,10687,822.0769,391.0,954.2883,0.096,55.0769,100657
1,2022,1,28,0.08383233532934131,0.0799662139145241,298127,10647.3929,10743.0,3874.3448,85085,3038.75,2406.5,2772.3757,0.2854,56.4286,213042
2,2022,2,31,0.09281437125748503,0.055992738512972345,208750,6733.871,7099.0,4129.6256,71142,2294.9032,1750.0,2131.3324,0.3408,68.6667,137608
3,2022,3,28,0.08383233532934131,0.0874658880166688,326087,11645.9643,11799.0,4485.1134,118808,4243.1429,2963.5,4076.5326,0.3643,64.8519,207279
4,2022,4,28,0.08383233532934131,0.0963482810028105,359202,12828.6429,13513.5,5632.3036,122908,4389.5714,3151.0,4049.1612,0.3422,72.0741,236294
5,2023,1,29,0.08682634730538923,0.08851251635524422,329989,11378.931,10888.0,5523.3084,92802,3200.069,2318.0,2625.2786,0.2812,82.1379,237187
6,2023,2,31,0.09281437125748503,0.07346998333226935,273908,8835.7419,9530.0,4431.7537,70810,2284.1935,1827.0,1978.7552,0.2585,99.5333,203098
7,2023,3,28,0.08383233532934131,0.097224315896144,362468,12945.2857,13578.0,4478.6503,109215,3900.5357,2541.5,3641.166,0.3013,60.75,253253
8,2023,4,28,0.08383233532934131,0.10440452963149134,389237,13901.3214,14293.5,5139.271,125618,4486.3571,2867.0,3852.7373,0.3227,64.1071,263619
9,2024,1,29,0.08682634730538923,0.1023281713616522,381496,13155.0345,12472.0,5345.1562,85648,2953.3793,2563.0,1976.6944,0.2245,81.1034,295848
10,2024,2,32,0.09580838323353294,0.082754719349642,308523,9641.3438,10364.0,4888.0106,70619,2206.8438,2160.5,1611.7561,0.2289,66.4194,237904
11,2024,3,29,0.08682634730538923,0.10166698764699603,379031,13070.0345,12793.0,4394.3717,104912,3617.6552,3418.0,2602.8834,0.2768,64.2414,274119
