,Fiscal Year,Fiscal Quarter,Train Arrivals,Train Arrival Ratio,Detraining Ratio,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
0,2021,4,103,0.05991855730075625,0.04878124269345066,710825,6901.2136,6243.0,4148.492,94408,916.5825,647.0,1147.1338,0.1328,46.0588,616417
1,2022,1,129,0.07504363001745201,0.06911560754770535,1007131,7807.2171,7300.0,4996.9533,133399,1034.1008,748.0,1000.3398,0.1325,39.7913,873732
2,2022,2,126,0.07329842931937172,0.0504766538013066,735530,5837.5397,5627.0,3910.4336,93814,744.5556,536.0,804.6166,0.1275,47.4554,641716
3,2022,3,130,0.07562536358347877,0.0795899609976525,1159760,8921.2308,8654.0,5247.1844,161258,1240.4462,724.5,1546.5171,0.139,43.4138,998502
4,2022,4,134,0.07795229784758581,0.08609270841461253,1254516,9362.0597,9357.5,5526.6458,266192,1986.5075,1233.5,2066.1894,0.2122,39.8485,988324
5,2023,1,146,0.08493310063990692,0.08998704130825758,1311263,8981.2534,8448.5,5901.8054,226136,1548.8767,1061.5,1783.114,0.1725,47.0074,1085127
6,2023,2,138,0.08027923211169284,0.07457859889524115,1086736,7874.8986,7700.0,4474.3212,117626,852.3623,489.5,989.5623,0.1082,44.1557,969110
7,2023,3,162,0.09424083769633508,0.0934130687819468,1361186,8402.3827,7659.0,5519.8425,265248,1637.3333,1124.0,1862.6475,0.1949,40.3642,1095938
8,2023,4,154,0.089586969168121,0.10374310126205703,1511712,9816.3117,9211.0,5623.7868,336474,2184.8961,1387.0,2173.3855,0.2226,47.2039,1175238
9,2024,1,158,0.09191390343222804,0.10480831766424849,1527234,9666.038,8891.0,6194.7703,267687,1694.2215,1120.5,1769.6038,0.1753,41.7838,1259547
10,2024,2,172,0.10005817335660268,0.09314693624698361,1357308,7891.3256,7475.5,5024.8321,197328,1147.2558,833.5,1091.728,0.1454,43.4076,1159980
11,2024,3,167,0.09714950552646888,0.10626676238653768,1548486,9272.3713,8377.0,5751.4898,338148,2024.8383,1165.0,2376.0149,0.2184,47.0195,1210338
