Train Number,Arrival Station Code,Arrival Station,State,Latitude,Longitude,Train Arrivals,Total Detraining Customers sum,Total Detraining Customers mean,Total Detraining Customers median,Total Detraining Customers std,Late Detraining Customers sum,Late Detraining Customers mean,Late Detraining Customers median,Late Detraining Customers std,Late to Total Detraining Customers Ratio,Late Detraining Customers Avg Min Late mean,Total On Time Detraining Customers sum
777,OLT,San Diego (Old Town),California,32.755266,-117.200073,11,344,31.2727,37.0,19.9253,5,0.4545,0.0,0.8202,0.0145,29.6667,339
777,SOL,Solana Beach,California,32.992937,-117.271135,11,2227,202.4545,185.0,143.0569,23,2.0909,1.0,2.9139,0.0103,40.1667,2204
777,OSD,Oceanside,California,33.192515,-117.37943,11,4740,430.9091,456.0,163.0751,138,12.5455,12.0,11.8858,0.0291,48.5556,4602
777,SNC,San Juan Capistrano,California,33.501318,-117.663813,11,11642,1058.3636,1186.0,437.4074,900,81.8182,62.0,69.2717,0.0773,53.4,10742
777,IRV,Irvine,California,33.656771,-117.733695,12,14275,1189.5833,1382.5,584.7832,1080,90.0,78.5,70.7377,0.0757,55.4545,13195
777,SNA,Santa Ana,California,33.751629,-117.856607,12,9223,768.5833,819.5,272.3101,760,63.3333,51.0,44.7667,0.0824,51.0,8463
777,ANA,Anaheim,California,33.803803,-117.877308,12,20234,1686.1667,1513.5,550.7651,1781,148.4167,130.5,80.1322,0.088,51.5833,18453
777,FUL,Fullerton,California,33.868969,-117.922849,12,17801,1483.4167,1488.0,214.2112,1801,150.0833,150.0,66.3057,0.1012,44.5833,16000
777,LAX,Los Angeles,California,34.056177,-118.236778,12,128371,10697.5833,10209.0,1638.2428,11042,920.1667,828.0,324.0058,0.086,56.0833,117329
777,GDL,Glendale,California,34.123706,-118.258868,12,9433,786.0833,724.0,263.4117,1161,96.75,72.0,112.2636,0.1231,57.5833,8272
777,BBK,Burbank,California,34.171299,-118.2999,9,3995,443.8889,420.0,160.6444,307,34.1111,40.0,14.8361,0.0768,56.2222,3688
777,BUR,Burbank (Airport),California,34.193072,-118.353767,12,10872,906.0,936.5,232.6433,1112,92.6667,91.0,31.618,0.1023,52.9167,9760
777,OXN,Oxnard,California,34.199241,-119.175978,12,36152,3012.6667,3269.0,826.2681,6504,542.0,517.5,257.5863,0.1799,46.3333,29648
777,VNC,Van Nuys,California,34.211294,-118.448206,12,13447,1120.5833,1127.0,199.4485,1330,110.8333,107.0,45.2123,0.0989,54.25,12117
777,CML,Camarillo,California,34.215933,-119.034114,12,17517,1459.75,1583.5,354.5935,2838,236.5,231.0,114.2457,0.162,46.25,14679
777,NRG,Northridge Station,California,34.230659,-118.545417,9,5442,604.6667,658.0,226.4095,820,91.1111,97.0,47.1074,0.1507,39.2222,4622
777,CWT,Chatsworth,California,34.253205,-118.599417,12,13023,1085.25,1017.0,208.1333,1911,159.25,141.0,57.9484,0.1467,45.75,11112
777,SIM,Simi Valley,California,34.270204,-118.695163,12,13420,1118.3333,1170.0,174.3196,1991,165.9167,177.0,49.9408,0.1484,45.5,11429
777,VEC,Ventura,California,34.276929,-119.299918,12,19928,1660.6667,1717.0,290.1819,5385,448.75,404.0,282.8225,0.2702,45.0,14543
777,MPK,Moorpark,California,34.28476,-118.878059,11,9213,837.5455,870.0,252.1905,1574,143.0909,136.0,50.6388,0.1708,50.5455,7639
777,CPN,Carpinteria,California,34.39678,-119.522975,12,5647,470.5833,470.5,70.8551,1771,147.5833,109.5,94.9846,0.3136,49.0,3876
777,SBA,Santa Barbara,California,34.413718,-119.692785,12,56705,4725.4167,4599.0,572.7761,20875,1739.5833,1759.5,1098.3767,0.3681,49.1667,35830
777,GTA,Goleta,California,34.437729,-119.843092,12,27787,2315.5833,2397.5,463.7449,11239,936.5833,1032.5,397.179,0.4045,46.3333,16548
777,LPS,Lompoc-Surf,California,34.682704,-120.605001,12,7329,610.75,619.0,126.9647,4837,403.0833,408.0,147.6682,0.66,45.75,2492
777,GUA,Guadalupe-Santa Maria,California,34.962927,-120.57341,12,9771,814.25,831.5,147.6976,6963,580.25,541.5,174.3581,0.7126,49.5,2808
777,GVB,Grover Beach,California,35.12126,-120.629266,12,10826,902.1667,957.0,182.4559,7945,662.0833,635.5,215.8789,0.7339,50.1667,2881
777,SLO,San Luis Obispo,California,35.276434,-120.654701,12,35116,2926.3333,2937.5,456.7502,18891,1574.25,1566.0,569.806,0.538,47.9167,16225
